Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal and coal products,Natural gas,Hydropower,"Solar, wind and other renewables",Biofuels and waste,Oil and oil products,Nuclear,Units
1990,22475679,536079,456191,1387,8566107,5107989,,TJ
1991,21251757,563058,450324,2611,8652252,5173010,,TJ
1992,21961560,553248,476891,4131,8715550,5677729,,TJ
1993,23390933,587445,546548,6410,8786540,6220022,17498,TJ
1994,24990975,615230,602639,9176,8838572,6216964,160974,TJ
1995,27384598,629027,686077,40859,8887866,6717838,139996,TJ
1996,27895975,717509,676677,47481,8743098,7315688,156414,TJ
1997,26884136,815385,705538,55156,8809659,8143636,157287,TJ
1998,27377490,834336,748799,63784,8714099,8020125,153818,TJ
1999,27380213,903492,733705,75265,8667836,8931240,163080,TJ
2000,28011915,971660,800690,88241,8490469,9520103,182585,TJ
2001,29426584,1081466,998755,101477,8144131,9710013,190603,TJ
2002,31911908,1130560,1036706,117700,8058371,10344369,274112,TJ
2003,38025193,1224510,1021251,137068,7796350,11508156,472821,TJ
2004,44073424,1458601,1272758,156879,7467852,13313455,550570,TJ
2005,50683499,1715675,1429261,188830,7267342,13435941,579141,TJ
2006,56278763,2083847,1568829,231361,7209474,14372614,598287,TJ
2007,61600297,2569692,1746950,277641,6748054,15017611,677781,TJ
2008,63169224,2969800,2106673,367537,6300601,15336213,746116,TJ
2009,68258860,3248198,2216304,491881,6049099,15927970,765098,TJ
2010,75221918,3873364,2560978,615028,5850440,18058163,805963,TJ
2011,81577324,4709618,2476962,844517,5575587,18667607,942000,TJ
2012,83465970,5265370,3106058,1061383,5274247,19575773,1062479,TJ
2013,85132931,5973663,3274599,1528534,5000038,20444061,1217596,TJ
2014,85840672,6521680,3814855,1702238,5019472,21312024,1445869,TJ
2015,83983223,6750883,4012092,1977845,4960517,22741812,1863152,TJ
2016,80948971,7264106,4151692,2370997,4898869,23563702,2326767,TJ
2017,82209220,8285946,4194404,2869088,5099213,24755616,2706218,TJ
2018,84589261,9683128,4315993,3392015,5238625,25892545,3211189,TJ
2019,86839757,10504297,4581058,3806112,5149832,27256382,3800236,TJ
2020,88937430,11273769,4758349,4264143,5162887,27828939,3995509,TJ
2021,94735502,12693859,4680001,5297547,5308558,28515462,4445705,TJ
2022,96812787,12619560,4688352,6149798,5311175,28591160,4557548,TJ
2023,102682041,13514010,4430329,7265656,5329053,30922065,4742399,TJ
