year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity
1990,122972963913.465,10333355,155.329376,1.968833563,11900.584458142104,1.6010296087402195e-11,78.89411218859844
1991,108689725030.78,10308578,143.2104627,1.79224853,10543.619598239447,1.6489585648435954e-11,79.90547086681109
1992,108139165550.882,10319123,136.6361523,1.737350508,10479.49186678771,1.606587677230167e-11,78.64627872776953
1993,108206108282.012,10329855,134.0879225,1.723170314,10475.08491474585,1.5924889466581593e-11,77.81466603190333
1994,111354158852.668,10333587,128.6390541,1.677987605,10775.944389171736,1.5068926228612035e-11,76.66269626586426
1995,118281953160.126,10327253,130.1806312,1.744517846,11453.380018880724,1.474880824497658e-11,74.62269961782896
1996,123212636052.806,10315241,132.8777121,1.805395253,11944.71714745259,1.4652679390985927e-11,73.60034423442677
1997,122478487836.036,10304131,127.159324,1.732765344,11886.348090492638,1.4147507653096452e-11,73.38519577409092
1998,121996963423.806,10294373,121.6485138,1.684744218,11850.839621199464,1.3809722559629266e-11,72.20592449601153
1999,123678521512.351,10283860,113.9241226,1.613386018,12026.46880766084,1.3044997613743962e-11,70.61181969410126
2000,128638858401.092,10255063,124.0967555,1.70495421,12543.93643423663,1.3253803953110383e-11,72.7859755834733
2001,132391536300.246,10216605,125.0885101,1.743559235,12958.466760753303,1.3169718274481268e-11,71.74319494800531
2002,134395228572.192,10196916,120.7810023,1.750279443,13179.987809274098,1.3023374874204082e-11,69.0066964924069
2003,138831395778.178,10193998,123.99705,1.865646045,13618.934963316455,1.3438214278136997e-11,66.46333066892117
2004,145406922288.089,10197101,124.8437682,1.911128327,14259.633427980069,1.3143310489809811e-11,65.32463908165388
2005,154676655549.654,10211216,123.4256338,1.879295673,15147.721441761098,1.2149833899121981e-11,65.67653806331091
2006,164921158024.599,10238905,125.9692006,1.916349712,16107.304250268851,1.1619792966249756e-11,65.7339314485205
2007,173973393346.007,10298828,125.5538125,1.899921565,16892.54285497408,1.0920759367044942e-11,66.08368198610346
2008,178518044754.249,10384603,120.3261953,1.865217558,17190.647033328958,1.0448341850078465e-11,64.51054183138886
2009,169952170270.619,10443936,113.5314104,1.789253501,16272.808476671917,1.0527982656243388e-11,63.45183079789877
2010,174565802522.079,10474410,116.5233221,1.860930057,16665.93178251367,1.0660335702146647e-11,62.61563762791113
2011,177659773382.538,10496088,113.0739503,1.815787811,16926.284667443528,1.0220590606576065e-11,62.27266733205315
2012,176290606021.546,10510785,109.3106721,1.810153834,16772.353922332728,1.0268010728709876e-11,60.38750411529941
2013,176216894659.909,10514272,104.9800429,1.775766853,16759.78086356421,1.0077165736163683e-11,59.1181453368417
2014,180173337874.854,10525347,101.9735914,1.744298769,17118.042557157878,9.681225810511247e-12,58.461080872321595
2015,189107698561.919,10546059,102.7730637,1.706643396,17931.598767076783,9.024716650767122e-12,60.21941311282582
2016,193988322685.058,10566332,104.8118652,1.681040797,18359.097810390398,8.665680355044807e-12,62.34938818085091
2017,204024435232.921,10594438,104.7891617,1.783964414,19257.693068091106,8.743876251701752e-12,58.73949103336766
2018,209798950825.42,10629928,103.7655695,1.783488901,19736.629526128494,8.500942897870326e-12,58.18122526123867
2019,217279912681.73,10671870,98.22707231,1.742633098,20360.0599221814,8.02022182580953e-12,56.36704158938223
2020,205753475017.539,10697858,88.43385772,1.615633089,19233.146954982858,7.852276073890265e-12,54.73634968366262
2021,214043320221.167,10505772,92.85002334,1.703325726,20373.878304342317,7.957855093258622e-12,54.5110203660483
2022,220137498830.73,10672118,90.15230134,1.64106081,20627.34865101098,7.454708165199325e-12,54.935381303755584
2023,220242240981.103,10864042,79.24815633,1.502041567,20272.587401733443,6.81995225034455e-12,52.76029510174002
2024,222958017484.654,10905028,71.53975362,1.429646675,20445.43283012698,6.4121788089473004e-12,50.04016367890339
