year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity,population_pp,gdp_per_capita_pp,energy_intensity_pp,carbon_intensity_pp,co2_growth_pct,sum_factors
1990,122972963913.465,10333355,155.329376,1.968833563,11900.584458142104,1.6010296087402195e-11,78.89411218859844,,,,,,
1991,108689725030.78,10308578,143.2104627,1.79224853,10543.619598239447,1.6489585648435954e-11,79.90547086681109,-0.24006484178963564,-12.106661348862907,2.9496988069490437,1.2737720503897725,-8.123255333313729,-8.123255333313725
1992,108139165550.882,10319123,136.6361523,1.737350508,10479.49186678771,1.606587677230167e-11,78.64627872776953,0.10224116510686664,-0.6100707828510654,-2.6031441180861403,-1.5884007799896047,-4.699374515819935,-4.699374515819944
1993,108206108282.012,10329855,134.0879225,1.723170314,10475.08491474585,1.5924889466581593e-11,77.81466603190333,0.10394704247664412,-0.0420619528877085,-0.8814307070047619,-1.0630391226513052,-1.8825847400671594,-1.8825847400671316
1994,111354158852.668,10333587,128.6390541,1.677987605,10775.944389171736,1.5068926228612035e-11,76.66269626586426,0.03612176558561248,2.8316706280943627,-5.5248502709003455,-1.491469174868177,-4.1485270520885225,-4.148527052088547
1995,118281953160.126,10327253,130.1806312,1.744517846,11453.380018880724,1.474880824497658e-11,74.62269961782896,-0.06131406272382217,6.096860611742773,-2.147247528029931,-2.697048573159686,1.1912504478293164,1.1912504478293342
1996,123212636052.806,10315241,132.8777121,1.805395253,11944.71714745259,1.4652679390985927e-11,73.60034423442677,-0.11638129923462988,4.200421632702729,-0.6539070248097912,-1.3795042523816488,2.050629056276659,2.050629056276659
1997,122478487836.036,10304131,127.159324,1.732765344,11886.348090492638,1.4147507653096452e-11,73.38519577409092,-0.10776274927435245,-0.48985786490129246,-3.5084741337898406,-0.29274799953480796,-4.398842747500274,-4.398842747500294
1998,121996963423.806,10294373,121.6485138,1.684744218,11850.839621199464,1.3809722559629266e-11,72.20592449601153,-0.09474475165715825,-0.29918030906164284,-2.4165593582297604,-1.620012356296186,-4.430496775244748,-4.430496775244747
1999,123678521512.351,10283860,113.9241226,1.613386018,12026.46880766084,1.3044997613743962e-11,70.61181969410126,-0.10217593429546525,1.4711235519045147,-5.6968141738825055,-2.232455101389232,-6.560321657662717,-6.560321657662688
2000,128638858401.092,10255063,124.0967555,1.70495421,12543.93643423663,1.3253803953110383e-11,72.7859755834733,-0.2804141080788835,4.212744147166378,1.5879866366616577,3.032574531053945,8.552891206803105,8.552891206803096
