year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity
1990,9138535829312.8,420525030,3833.538466,62.43168269,21731.253022710207,6.8316942512545514e-12,61.4037344633999
1991,9271989075705.29,421741276,3745.359281,61.8105785,21985.016889134866,6.6663774078377324e-12,60.59414701967237
1992,9355590541033.25,422968989,3627.655984,60.65577152,22118.856900483668,6.4833717608702715e-12,59.80726801577084
1993,9299828881187.87,424344744,3570.172026,60.16591303,21915.739531789437,6.46957205327793e-12,59.3387824800371
1994,9551054623609.75,425404352,3524.75353,59.89733872,22451.708777087806,6.2712800921415156e-12,58.84657992030401
1995,9811290301513.54,426210050,3596.641024,61.57463576,23019.847376929614,6.275895816730771e-12,58.41108079012695
1996,9999281633364.69,426905134,3696.670388,63.59521505,23422.725184103056,6.359978384627281e-12,58.12812151187151
1997,10267712292498.4,427547651,3639.565609,63.13063834,24015.36359393634,6.148461949612992e-12,57.651335464066534
1998,10573834940813.5,428120105,3637.097311,63.47131136,24698.291010681452,6.002676579999349e-12,57.30301191306598
1999,10891446207973.3,428825949,3583.969411,63.04766973,25398.290922859476,5.788732600436909e-12,56.845390580623445
2000,11319869909643.6,429339162,3544.894936,62.93378799,26365.798677465158,5.559585798453883e-12,56.32737277093942
2001,11564508558513.0,429909307,3594.352961,64.05768858,26899.879509966042,5.539162192313405e-12,56.11118728567774
2002,11691451596944.9,430924112,3603.689606,64.18287366,27131.11490253509,5.489726671474367e-12,56.14721498900241
2003,11800997102454.8,432512916,3693.081347,65.49358834,27284.727613671545,5.54983513438676e-12,56.3884410765208
2004,12107812246876.8,434193248,3701.63496,66.35463395,27885.768151965367,5.4803157331016684e-12,55.78562851826267
2005,12347980270825.7,435789139,3685.997686,66.47649147,28334.759097393886,5.383592297038451e-12,55.44813819880137
2006,12788499501424.8,437263803,3714.996439,66.9186126,29246.64564888487,5.232718083348591e-12,55.51514436209336
2007,13190293140115.9,438796003,3661.114771,65.9960101,30060.1943726363,5.003377059095452e-12,55.47478954337574
2008,13271807422071.9,440270719,3587.072833,65.63453801,30144.651573051582,4.945410668093736e-12,54.652214242042476
2009,12699515364509.5,441388573,3308.100405,61.41333387,28771.73570261299,4.835880118829401e-12,53.866158968060596
2010,12976593517674.0,442088310,3389.261988,63.69729915,29352.944251509387,4.908630224353168e-12,53.20888064686492
2011,13231012723603.5,441414078,3303.681918,61.93504454,29974.152123900996,4.681050939472745e-12,53.34107600207435
2012,13129872603290.2,442069839,3223.932178,60.83039685,29700.901181114506,4.632976928866513e-12,52.99870369002861
2013,13125534418029.3,442425741,3153.140786,59.97788846,29667.203333065787,4.5695578214029955e-12,52.57172046166428
2014,13339837928675.8,442920819,2991.049497,57.91785079,30117.88418253557,4.341720724020018e-12,51.6429642364497
2015,13656252620703.3,443793218,3046.425364,58.60286075,30771.656859126,4.291284174192578e-12,51.9842431753641
2016,13918449980505.1,444676652,3073.398527,59.17191205,31300.15915588278,4.2513291446159046e-12,51.94015911473321
2017,14310687274644.1,445321060,3133.319777,60.39610702,32135.662469329654,4.2203498588786e-12,51.87949905384481
2018,14603544059407.1,446329890,3078.938448,59.88007567,32719.17114806517,4.100379704160054e-12,51.41841277836849
2019,14877396575749.2,446910453,2942.348504,58.88035594,33289.43522327772,3.9577056133582895e-12,49.971649407118036
2020,14047404390856.4,446870959,2582.432274,53.59035951,31435.03534508359,3.814965243321572e-12,48.18837375998786
2021,14943312743921.6,446227358,2772.570634,56.75744316,33488.11424493969,3.798183450526181e-12,48.84946325337606
2022,15475526647498.2,447202673,2754.021513,54.15957989,34605.17474925334,3.499692199409287e-12,50.85012695064315
2023,15545835479247.4,448897545,2525.786491,51.711372,34631.14390444572,3.326381014968996e-12,48.843927231325445
2024,15711329898680.8,450228188,2483.505975,52.01779221,34896.371034593685,3.3108459019988923e-12,47.743394509591774
