year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity,population_pp,gdp_per_capita_pp,energy_intensity_pp,carbon_intensity_pp,co2_growth_pct,sum_factors
1990,9138535829312.8,420525030,3833.538466,62.43168269,21731.253022710207,6.8316942512545514e-12,61.4037344633999,,,,,,
1991,9271989075705.29,421741276,3745.359281,61.8105785,21985.016889134866,6.6663774078377324e-12,60.59414701967237,0.28880339548234674,1.1609714975091248,-2.4496107913597314,-1.3272350606037784,-2.3270709589720355,-2.327070958972038
1992,9355590541033.25,422968989,3627.655984,60.65577152,22118.856900483668,6.4833717608702715e-12,59.80726801577084,0.29068283300161624,0.6069327281290148,-2.7835886614918657,-1.3071112280342239,-3.1930843283954617,-3.1930843283954586
1993,9299828881187.87,424344744,3570.172026,60.16591303,21915.739531789437,6.46957205327793e-12,59.3387824800371,0.3247336034777717,-0.9225419362560083,-0.21307454137560145,-0.7864095338449263,-1.5972924079987603,-1.5972924079987645
1994,9551054623609.75,425404352,3524.75353,59.89733872,22451.708777087806,6.2712800921415156e-12,58.84657992030401,0.24939327483641452,2.4161647321071906,-3.112946785874362,-0.8329380143627854,-1.280326793293562,-1.2803267932935423
1995,9811290301513.54,426210050,3596.641024,61.57463576,23019.847376929614,6.275895816730771e-12,58.41108079012695,0.18921667799280362,2.4990047167314784,0.07357392342294679,-0.7428105421664805,2.018984775980743,2.018984775980748
1996,9999281633364.69,426905134,3696.670388,63.59521505,23422.725184103056,6.359978384627281e-12,58.12812151187151,0.1629520062104012,1.734993955369676,1.33087442357162,-0.48560454972862466,2.7432158354230625,2.7432158354230722
1997,10267712292498.4,427547651,3639.565609,63.13063834,24015.36359393634,6.148461949612992e-12,57.651335464066534,0.15039265653594502,2.4987062481823563,-3.3823017655734438,-0.8236154417317793,-1.5568183025869138,-1.5568183025869216
1998,10573834940813.5,428120105,3637.097311,63.47131136,24698.291010681452,6.002676579999349e-12,57.30301191306598,0.13380288818697697,2.8040276102405723,-2.399649462393501,-0.6060225211160402,-0.06784148508198026,-0.06784148508199173
1999,10891446207973.3,428825949,3583.969411,63.04766973,25398.290922859476,5.788732600436909e-12,56.845390580623445,0.164734794291734,2.79478338698073,-3.629209336956797,-0.8018049733775231,-1.4714961290618662,-1.4714961290618565
2000,11319869909643.6,429339162,3544.894936,62.93378799,26365.798677465158,5.559585798453883e-12,56.32737277093942,0.11960706735906518,3.7385780360136596,-4.03897642469896,-0.915452467641098,-1.09624378896733,-1.0962437889673335
2001,11564508558513.0,429909307,3594.352961,64.05768858,26899.879509966042,5.539162192313405e-12,56.11118728567774,0.13270784976523173,2.0054141795149585,-0.3680348307853458,-0.38454023521729735,1.3855469632775341,1.3855469632775472
2002,11691451596944.9,430924112,3603.689606,64.18287366,27131.11490253509,5.489726671474367e-12,56.14721498900241,0.23577278662744258,0.8559413234652384,-0.8964792833312036,0.06418709661209679,0.25942192337359044,0.25942192337357417
2003,11800997102454.8,432512916,3693.081347,65.49358834,27284.727613671545,5.54983513438676e-12,56.3884410765208,0.36801891549228616,0.564589693301169,1.0889754135872753,0.42871115771915685,2.4502951800998987,2.450295180099887
2004,12107812246876.8,434193248,3701.63496,66.35463395,27885.768151965367,5.4803157331016684e-12,55.78562851826267,0.3877517375854727,2.1789339018891516,-1.2605506971511542,-1.074790926953514,0.23134401536995236,0.2313440153699562
2005,12347980270825.7,435789139,3685.997686,66.47649147,28334.759097393886,5.383592297038451e-12,55.44813819880137,0.36687933317052374,1.5972831039734476,-1.7806850273128596,-0.6068145762234447,-0.4233371663923387,-0.4233371663923329
