year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity
1990,2364190062225.0,79433029,1007.605892,15.07587861,29763.312465712468,6.3767625331322576e-12,66.8356331372716
1991,2484959073005.6,80013896,969.7032215,14.71535693,31056.59388221266,5.921770338133387e-12,65.89736328604297
1992,2534996542114.29,80624598,923.715798,14.40967991,31441.974347757863,5.684299631423458e-12,64.10383879234969
1993,2510330187123.32,81156363,916.2724361,14.33723635,30932.01930603174,5.71129504140233e-12,63.908581384305634
1994,2575519839599.45,81438348,896.9314949,14.19013719,31625.39396795537,5.509620610108318e-12,63.20809185214086
1995,2614281254585.26,81678051,889.4009779,14.25255041,32007.145402934013,5.451804539011271e-12,62.40293507581427
1996,2641414240990.66,81914831,914.8445439,14.74502701,32245.860837955708,5.582247108832839e-12,62.04427725222594
1997,2690394576515.06,82034771,887.9933651,14.55385548,32795.7833455165,5.409561707804213e-12,61.0143041697979
1998,2746774816494.42,82047195,879.0361973,14.41564263,33477.985645876375,5.248206931064706e-12,60.97794041249759
1999,2805269313430.67,82100243,855.9154738,14.20027709,34168.83082100829,5.062001363653012e-12,60.274561431110776
2000,2885963533943.47,82211508,854.4283176,14.2308228,35104.130846784494,4.931047337439694e-12,60.04068279172164
2001,2933181986968.52,82349925,871.6725617,14.51751142,35618.5143698494,4.949406986848446e-12,60.042836301760595
2002,2926486831428.63,82488495,859.0473112,14.30036637,35477.51515443008,4.8865302301801094e-12,60.07169949171029
2003,2910982263391.97,82534176,861.9914328,14.32143263,35270.02272842671,4.91979384763142e-12,60.18891091903282
2004,2944810405337.25,82516260,847.5257709,14.26829618,35687.63787085418,4.845234231086583e-12,59.39922750468164
2005,2970886268370.04,82469422,826.3176353,14.0959513,36024.09470470207,4.744695699082975e-12,58.620920129030246
2006,3085761005285.65,82376451,843.7771547,14.43800856,37459.26132804204,4.678913413990553e-12,58.441380692740076
2007,3174912263837.68,82266372,811.0682094,13.73588958,38593.07499105078,4.326383987504814e-12,59.04737401070459
2008,3203102383827.36,82110097,809.3684054,13.89544682,39009.84776363569,4.338121344531125e-12,58.24702263154716
2009,3025504625850.04,81902307,753.5898453,13.02399204,36940.40786726606,4.304733804973378e-12,57.86166353492335
2010,3150598283304.25,81776930,783.1632711,13.55954263,38526.7371042695,4.303799282141159e-12,57.75735159143786
2011,3268996785218.57,80274983,763.6899109,12.93191791,40722.48492682421,3.955928610414755e-12,59.05465192517604
2012,3284148978797.69,80425823,773.0012606,13.03309114,40834.508821845564,3.968483532306548e-12,59.31066178364805
2013,3297186905208.25,80645605,797.5715589,13.38698331,40884.892675902796,4.060122672710445e-12,59.578139483016955
2014,3369071713224.27,80982500,751.080815,12.78419283,41602.46612816682,3.794574267985904e-12,58.75074202866197
2015,3425099578746.09,81686611,755.630977,12.89363127,41929.754911072145,3.764454426379127e-12,58.6049780063239
2016,3501212900675.89,82348669,767.4105891,13.11150341,42516.9337063103,3.744846081044913e-12,58.529564848734616
2017,3599173571724.7,82657002,774.4026592,13.33959281,43543.480705055095,3.706293276544525e-12,58.05294586049663
2018,3640049243667.4,82905782,746.2345905,12.93431975,43905.85500619728,3.55333647546166e-12,57.694150517656716
2019,3675639268112.03,83092962,693.9492235,12.50078135,44235.26589546814,3.4009815539980757e-12,55.51246790665609
2020,3523764998709.97,83160871,617.4841827,11.52040556,42372.872678425534,3.2693455903607515e-12,53.599170574685914
2021,3661544208117.2,83196078,654.4076708,11.99240708,44011.01946316748,3.275232087438487e-12,54.56850042151838
2022,3727790994177.62,83177813,648.3539482,11.30807361,44817.131633139,3.033451614551864e-12,57.33549060262971
2023,3695372350062.48,83287273,576.6548243,10.13727835,44368.99200748811,2.743235969124628e-12,56.88458029762988
2024,3677048776153.86,83516593,569.6500144,10.13622302,44027.76315544696,2.7566191359045127e-12,56.19943575393037
