year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity
1990,465242841648.51,864972221,602.0639956,7.818949358,537.8702695337889,1.6806168000983882e-11,77.00062604753859
1991,470159674247.956,883927600,634.8807151,8.221723356,531.8983978415833,1.7487087486078128e-11,77.2199072639291
1992,495935689518.468,902957070,671.9163867,8.700142395,549.2350699668015,1.754288424663984e-11,77.23050453589731
1993,519496484311.542,922118387,694.0449327,8.923678338,563.3728723289648,1.7177552894946006e-11,77.77565555501089
1994,554089360749.644,941163767,724.7865618,9.362392296,588.7278921880171,1.6896899596363554e-11,77.41467553219904
1995,596058814154.216,960301044,773.4166961,10.13380145,620.6999543303797,1.7001344849466687e-11,76.32049038221486
1996,641058406947.109,979678458,812.4526643,10.60651032,654.3559284296409,1.6545310388348277e-11,76.59943183838811
1997,667020123972.214,999133762,854.9767694,11.21200252,667.598423095039,1.680909183553667e-11,76.25549208313949
1998,708271422053.216,1018665080,895.6974019,11.82847609,695.2937093447986,1.6700484760080112e-11,75.723820641379
1999,770923380745.097,1038225823,914.3058076,12.18506611,742.5392083944506,1.5805806924967223e-11,75.03494846446918
2000,800534479623.61,1057922733,959.8547551,12.86780043,756.7041095274488,1.607401149798082e-11,74.59353759187886
2001,839151992864.812,1077898575,968.5473113,12.96324336,778.5073775283653,1.5448027854577695e-11,74.71489074166391
2002,871073127580.09,1097600380,1012.004956,13.46165777,793.6159129063803,1.54541075183866e-11,75.17684473121173
2003,939542798342.002,1116803006,1052.522333,13.95398647,841.2788945716734,1.4851890190233383e-11,75.42807464109572
2004,1013982178697.24,1135991513,1115.56787,14.97067474,892.5966145816091,1.4764238518702822e-11,74.51687311189289
2005,1094324353140.52,1154676322,1203.539919,15.91215085,947.7325656466696,1.4540616595376776e-11,75.63653275697799
2006,1182534912713.8,1172878890,1255.419362,16.68304789,1008.2327534378252,1.4107869214376145e-11,75.25119931787236
2007,1273126725479.64,1190676021,1366.685014,18.10030719,1069.24696813025,1.4217207782815854e-11,75.5061778595151
2008,1312424303406.43,1207930964,1466.057938,19.24381693,1086.5060525151252,1.46628014126622e-11,76.18332388698316
2009,1415605643155.69,1225524753,1592.28627,20.78148924,1155.1016327417174,1.4680281433234177e-11,76.62041211826069
2010,1535897931732.14,1243481564,1644.473694,21.6949948,1235.1593913395084,1.412528420787248e-11,75.79968140854314
2011,1616399198833.92,1261224954,1711.557933,22.75802186,1281.610543549331,1.4079456285562239e-11,75.20679712538075
2012,1704596203504.32,1278674502,1831.368394,24.10282381,1333.0962655766793,1.4139902318478275e-11,75.98148700071339
2013,1813453530766.63,1295829511,1898.329604,24.80026734,1399.4537980287053,1.3675711519068146e-11,76.54472340861467
2014,1947834564908.95,1312277191,2048.567271,26.50419694,1484.3164068291346,1.360700616853409e-11,77.29218416379605
2015,2103588360044.94,1328024498,2120.485219,27.41064136,1583.9981590798484,1.3030420723289423e-11,77.3599271593257
2016,2277267041550.36,1343944296,2216.561454,28.69022824,1694.4653497382453,1.2598534873831808e-11,77.25841131196243
2017,2432016068497.75,1359657400,2292.054338,29.65496054,1788.6977031844567,1.2193570973532996e-11,77.29075663103208
2018,2588974770244.57,1374659064,2390.678019,31.28144215,1883.3577270506178,1.2082559671697755e-11,76.42480188529288
2019,2689205295885.31,1389030312,2416.74571,31.87765467,1936.0306774106668,1.1853931240867051e-11,75.81315924958541
2020,2533830417086.54,1402617695,2247.668782,30.05773283,1806.5011058387795,1.186256689765415e-11,74.77838713625961
2021,2779348258938.77,1414203896,2477.805359,32.69510658,1965.3094343750627,1.1763587551451316e-11,75.78520513267584
2022,2990839011962.46,1425423212,2600.401459,34.30941799,2098.211244761503,1.1471502763195413e-11,75.79264270113607
2023,3265719695911.24,1438069596,2830.22972,37.06361668,2270.905180802696,1.1349295142018631e-11,76.36140165261389
2024,3477820532826.48,1450935791,2952.993543,38.76440033,2396.949992135441,1.1146176165247825e-11,76.17797561322419
