year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity,population_pp,gdp_per_capita_pp,energy_intensity_pp,carbon_intensity_pp,co2_growth_pct,sum_factors
1990,465242841648.51,864972221,602.0639956,7.818949358,537.8702695337889,1.6806168000983882e-11,77.00062604753859,,,,,,
1991,470159674247.956,883927600,634.8807151,8.221723356,531.8983978415833,1.7487087486078128e-11,77.2199072639291,2.16777668657973,-1.1164906787007465,3.9716788695475955,0.2843737593904458,5.307338636817016,5.3073386368170254
1992,495935689518.468,902957070,671.9163867,8.700142395,549.2350699668015,1.754288424663984e-11,77.23050453589731,2.129985192748244,3.207403871163053,0.31856610205071967,0.013722555817557137,5.669677721779562,5.669677721779574
1993,519496484311.542,922118387,694.0449327,8.923678338,563.3728723289648,1.7177552894946006e-11,77.77565555501089,2.0998606941218125,2.5415176038984524,-2.1044944426348984,0.7033956153408893,3.240279470726269,3.240279470726256
1994,554089360749.644,941163767,724.7865618,9.362392296,588.7278921880171,1.6896899596363554e-11,77.41467553219904,2.0443541812279165,4.402238984965524,-1.647331797161477,-0.46521026318063763,4.334051105851331,4.3340511058513265
1995,596058814154.216,960301044,773.4166961,10.13380145,620.6999543303797,1.7001344849466687e-11,76.32049038221486,2.012966329148922,5.288370564015525,0.6162300456967273,-1.4234916518953553,6.494075286965852,6.494075286965819
1996,641058406947.109,979678458,812.4526643,10.60651032,654.3559284296409,1.6545310388348277e-11,76.59943183838811,1.9977590941465526,5.280363664693766,-2.7189748271107583,0.3648207002744059,4.923968632003968,4.923968632003966
1997,667020123972.214,999133762,854.9767694,11.21200252,667.598423095039,1.680909183553667e-11,76.25549208313949,1.9664251836129982,2.0035393245384134,1.5817219262132605,-0.45002192520785494,5.101664509156815,5.101664509156818
1998,708271422053.216,1018665080,895.6974019,11.82847609,695.2937093447986,1.6700484760080112e-11,75.723820641379,1.9359638444271206,4.064752993262761,-0.6482174159338141,-0.6996657652235135,4.652833656532549,4.652833656532554
1999,770923380745.097,1038225823,914.3058076,12.18506611,742.5392083944506,1.5805806924967223e-11,75.03494846446918,1.9020291915206655,6.5741315534175895,-5.506034714301116,-0.913879803348306,2.0562462272888737,2.0562462272888338
2000,800534479623.61,1057922733,959.8547551,12.86780043,756.7041095274488,1.607401149798082e-11,74.59353759187886,1.8793982619739251,1.8896629338905582,1.682637569762373,-0.5900108525188597,4.861687913107979,4.861687913107997
2001,839151992864.812,1077898575,968.5473113,12.96324336,778.5073775283653,1.5448027854577695e-11,74.71489074166391,1.870608221126854,2.8406163283039705,-3.972242686244937,0.16255368549673135,0.9015355486826134,0.9015355486826184
2002,871073127580.09,1097600380,1012.004956,13.46165777,793.6159129063803,1.54541075183866e-11,75.17684473121173,1.8112942409793726,1.922113949190312,0.03934785615279175,0.6163854874032514,4.389141533725724,4.389141533725728
