year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity
1990,126196728879.997,1898220,81.69423619,1.241829713,66481.61376447251,9.840427117416656e-12,65.78537728223934
1991,127282124163.704,2006626,100.243774,1.515014778,63430.91545893654,1.1902808724746475e-11,66.16686216905008
1992,131539641031.7,2114730,97.5200434,1.464104437,62201.62433582538,1.1130518720567001e-11,66.60729995451821
1993,133198607074.354,2222093,101.3926908,1.524493277,59942.85886070205,1.144526440992734e-11,66.509109833221
1994,142384180889.311,2328188,110.6293309,1.672826885,61156.650961739775,1.1748684963117147e-11,66.13316171087243
1995,151906673243.8,2434662,114.6024541,1.745535614,62393.33149480297,1.14908422173036e-11,65.65460663239152
1996,160714835966.554,2597564,117.0053127,1.798876522,61871.36716036794,1.1192971147818364e-11,65.04354872001603
1997,173878021720.573,2817410,121.6622703,1.87724305,61715.55496735406,1.0796321647923874e-11,64.80901356912734
1998,174385735706.142,3040421,124.1354628,1.922806354,57355.78582904868,1.1026167628986167e-11,64.55952391761235
1999,179446782313.38,3266009,124.4929291,1.938128307,54943.750097865624,1.0800574309631899e-11,64.23358487173677
2000,198921610821.864,3493575,123.5923959,1.928814821,56939.27018079303,9.696356333687998e-12,64.07685929949622
2001,201704693314.365,3723590,124.2405805,1.949637675,54169.415353023556,9.665802232779037e-12,63.72495879266387
2002,206613089911.721,3956826,132.4242455,2.1300953,52216.87532171518,1.030958542321844e-11,62.16822575966438
2003,224796159215.545,4192457,142.0826243,2.272159067,53619.19256787727,1.0107641851751339e-11,62.53198834692324
2004,246301141350.818,4428967,152.5210023,2.430235427,55611.41940114207,9.86692718381887e-12,62.75976417983475
2005,258259409529.61,4664790,159.1670758,2.536553057,55363.56610471425,9.821725611547093e-12,62.749357976469085
2006,283665213479.189,5009100,168.1438414,2.668654648,56629.97613926434,9.407761407430329e-12,63.00696927045767
2007,292698220662.137,5624635,184.7953451,2.946099912,52038.61595679311,1.006531541372333e-11,62.72541686291594
2008,302040668640.587,6302664,210.5741374,3.378241948,47922.69882078229,1.1184725431858767e-11,62.33246186664189
2009,286204912265.895,6707058,204.3672966,3.332029932,42672.19878908085,1.1642113007845304e-11,61.334171892427044
2010,290792347835.845,6869838,213.7944279,3.500852306,42328.85081654691,1.2039011108972731e-11,61.06925091743644
2011,310381480913.923,7104538,220.7663393,3.67522176,43687.77827832337,1.1840982745421066e-11,60.068848552964596
2012,324917470354.939,7391448,231.9094131,3.866607202,43958.56811208562,1.1900274853722478e-11,59.977494734930666
2013,340898464870.844,7693031,246.9756254,4.07454822,44312.63371626138,1.19523806642653e-11,60.61423550903517
2014,356691886612.605,8059440,244.1173969,4.086569843,44257.65147610814,1.1456862340797596e-11,59.736504275867325
2015,381973042886.317,8505237,264.953093,4.402996305,44910.33499552299,1.152698177790107e-11,60.17563373812552
2016,403584822847.176,8935095,275.253667,4.570246386,45168.49824732429,1.132412847876244e-11,60.227314624257986
2017,399301267917.2,9223225,264.27737,4.36020841,43293.0203824801,1.0919595704625066e-11,60.61117844594039
2018,405439194566.321,9346701,246.1103216,4.072407748,43377.78586972248,1.0044435275568412e-11,60.433614910213066
2019,410593714983.921,9445785,261.6851855,4.361193021,43468.45868119177,1.0621675056986164e-11,60.003119384978945
2020,374899053476.789,9401038,250.1785824,4.238665604,39878.47442769501,1.130615178857054e-11,59.02295811302221
2021,391967404019.489,9575152,260.9908928,4.451485747,40935.893656778404,1.1356775337315213e-11,58.63006367613109
2022,421421732891.067,10074977,280.9751012,4.86623103,41828.555329810384,1.1547176261215432e-11,57.739778376284775
2023,439547849791.115,10483751,287.0611945,5.147181523,41926.582364567315,1.1710173364392706e-11,55.77055971647339
2024,457093751868.536,10986400,302.5234227,5.475096397,41605.416867084394,1.197806002514487e-11,55.25444681955981
