year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity,population_pp,gdp_per_capita_pp,energy_intensity_pp,carbon_intensity_pp,co2_growth_pct,sum_factors
1990,126196728879.997,1898220,81.69423619,1.241829713,66481.61376447251,9.840427117416656e-12,65.78537728223934,,,,,,
1991,127282124163.704,2006626,100.243774,1.515014778,63430.91545893654,1.1902808724746475e-11,66.16686216905008,5.553809971024185,-4.697405656032005,19.02752831933764,0.5782182269361764,20.462150861266025,20.462150861265997
1992,131539641031.7,2114730,97.5200434,1.464104437,62201.62433582538,1.1130518720567001e-11,66.60729995451821,5.247244010806075,-1.9570253999729483,-6.708362973412599,0.6634414315682648,-2.7547029310112223,-2.754702931011207
1993,133198607074.354,2222093,101.3926908,1.524493277,59942.85886070205,1.144526440992734e-11,66.509109833221,4.952239975239865,-3.698935800316077,2.7885285973319407,-0.14752522136367283,3.8943075508920733,3.8943075508920564
1994,142384180889.311,2328188,110.6293309,1.672826885,61156.650961739775,1.1748684963117147e-11,66.13316171087243,4.664073809535093,2.004686479933409,2.6165260498056253,-0.5668617171186721,8.718424622155439,8.718424622155457
1995,151906673243.8,2434662,114.6024541,1.745535614,62393.33149480297,1.14908422173036e-11,65.65460663239152,4.471765524243404,2.0019781670020294,-2.219092709352291,-0.7262543222720921,3.5283966596210385,3.5283966596210505
1996,160714835966.554,2597564,117.0053127,1.798876522,61871.36716036794,1.1192971147818364e-11,65.04354872001603,6.476614489896325,-0.840089598873007,-2.6264383995671063,-0.9350741991914623,2.075012292264764,2.0750122922647494
1997,173878021720.573,2817410,121.6622703,1.87724305,61715.55496735406,1.0796321647923874e-11,64.80901356912734,8.12439404457886,-0.252150102754261,-3.6080517243441883,-0.3612333893003492,3.9029588281800502,3.9029588281800627
1998,174385735706.142,3040421,124.1354628,1.922806354,57355.78582904868,1.1026167628986167e-11,64.55952391761235,7.617796946228647,-7.326228079572168,2.106583515449484,-0.38570423019679034,2.0124481519091555,2.0124481519091724
1999,179446782313.38,3266009,124.4929291,1.938128307,54943.750097865624,1.0800574309631899e-11,64.23358487173677,7.157275753707972,-4.296378838368186,-2.0672013582047883,-0.5061446917017531,0.2875508654332722,0.28755086543324415
2000,198921610821.864,3493575,123.5923959,1.928814821,56939.27018079303,9.696356333687998e-12,64.07685929949622,6.735681701241791,3.567532803152969,-10.784913029579975,-0.24429133761544397,-0.7259898628006627,-0.7259898628006599
2001,201704693314.365,3723590,124.2405805,1.949637675,54169.415353023556,9.665802232779037e-12,63.72495879266387,6.376268946217454,-4.986880763698193,-0.31560661137951984,-0.5506985760023102,0.5230829951374175,0.5230829951374314
2002,206613089911.721,3956826,132.4242455,2.1300953,52216.87532171518,1.030958542321844e-11,62.16822575966438,6.0753932046373205,-3.6710732123682304,6.447997296283668,-2.473227427358557,6.379089861194212,6.379089861194201
2003,224796159215.545,4192457,142.0826243,2.272159067,53619.19256787727,1.0107641851751339e-11,62.53198834692324,5.784476952250966,2.650134961169095,-1.9782329346697627,0.5834210016032877,7.039799980353581,7.039799980353585
2004,246301141350.818,4428967,152.5210023,2.430235427,55611.41940114207,9.86692718381887e-12,62.75976417983475,5.487941576908077,3.648149079946559,-2.410328066189197,0.3635931005047435,7.089355691170191,7.089355691170183
2005,258259409529.61,4664790,159.1670758,2.536553057,55363.56610471425,9.821725611547093e-12,62.749357976469085,5.18764431874288,-0.44668392144191427,-0.4591644959938463,-0.016582385743321718,4.265213515563807,4.265213515563798
2006,283665213479.189,5009100,168.1438414,2.668654648,56629.97613926434,9.407761407430329e-12,63.00696927045767,7.121344103200126,2.261673291503354,-4.306180088890313,0.4096997104960247,5.486537016309176,5.486537016309191
2007,292698220662.137,5624635,184.7953451,2.946099912,52038.61595679311,1.006531541372333e-11,62.72541686291594,11.589979885533591,-8.455240124779573,6.756036604825367,-0.4478605501936128,9.442915815385778,9.44291581538577
2008,302040668640.587,6302664,210.5741374,3.378241948,47922.69882078229,1.1184725431858767e-11,62.33246186664189,11.381634406523812,-8.239678601360529,10.545365047337132,-0.6284390772199164,13.058881775280481,13.058881775280499
2009,286204912265.895,6707058,204.3672966,3.332029932,42672.19878908085,1.1642113007845304e-11,61.334171892427044,6.218800360027797,-11.604164555421058,4.007990896081231,-1.6145206333135418,-2.991893932625588,-2.9918939326255716
2010,290792347835.845,6869838,213.7944279,3.500852306,42328.85081654691,1.2039011108972731e-11,61.06925091743644,2.3980120408464676,-0.8078720004734583,3.3523346988904366,-0.4328659813060095,4.509608757957458,4.509608757957436
2011,310381480913.923,7104538,220.7663393,3.67522176,43687.77827832337,1.1840982745421066e-11,60.068848552964596,3.359320963412846,3.1599483759933786,-1.658567454283611,-1.6517100935901614,3.208991791532472,3.2089917915324517
2012,324917470354.939,7391448,231.9094131,3.866607202,43958.56811208562,1.1900274853722478e-11,59.977494734930666,3.958992142203768,0.6179166765626811,0.4994868643800444,-0.15219761496485446,4.924198068181646,4.9241980681816395
2013,340898464870.844,7693031,246.9756254,4.07454822,44312.63371626138,1.19523806642653e-11,60.61423550903517,3.999119787964455,0.8022265375698995,0.4368980500844948,1.056037077045841,6.294281452664673,6.29428145266469
2014,356691886612.605,8059440,244.1173969,4.086569843,44257.65147610814,1.1456862340797596e-11,59.736504275867325,4.6529221090565835,-0.12415506418774248,-4.23415957559334,-1.4586479439177062,-1.1640404746422057,-1.164040474642205
2015,381973042886.317,8505237,264.953093,4.402996305,44910.33499552299,1.152698177790107e-11,60.17563373812552,5.383801622419844,1.4639675115088235,0.6101647251638527,0.7324219759427534,8.190355835035282,8.190355835035273
2016,403584822847.176,8935095,275.253667,4.570246386,45168.49824732429,1.132412847876244e-11,60.227314624257986,4.930468947880456,0.5731956095419007,-1.7754815908567527,0.08584655111738844,3.8140295176829624,3.814029517682992
2017,399301267917.2,9223225,264.27737,4.36020841,43293.0203824801,1.0919595704625066e-11,60.61117844594039,3.1737978589342313,-4.240847250565377,-3.637676664481103,0.6353358158572642,-4.069390240254977,-4.069390240254984
2018,405439194566.321,9346701,246.1103216,4.072407748,43377.78586972248,1.0044435275568412e-11,60.433614910213066,1.3298687326433518,0.19560338234829266,-8.354016901447721,-0.29338504890397527,-7.121929835360033,-7.121929835360052
2019,410593714983.921,9445785,261.6851855,4.361193021,43468.45868119177,1.0621675056986164e-11,60.003119384978945,1.0545163442515997,0.20881235540944396,5.58779527918681,-0.7148937759025153,6.136230202945344,6.136230202945338
2020,374899053476.789,9401038,250.1785824,4.238665604,39878.47442769501,1.130615178857054e-11,59.02295811302221,-0.474850154644916,-8.619889701055374,6.245025362847741,-1.6470061842682768,-4.496720677120828,-4.496720677120825
2021,391967404019.489,9575152,260.9908928,4.451485747,40935.893656778404,1.1356775337315213e-11,58.63006367613109,1.8351300902914716,2.617058341511641,0.44675281937108446,-0.6678891734722676,4.231052077701909,4.231052077701929
2022,421421732891.067,10074977,280.9751012,4.86623103,41828.555329810384,1.1547176261215432e-11,57.739778376284775,5.088341533739137,2.157197444980337,1.6626415684385827,-1.5301261120233418,7.378054435134722,7.3780544351347155
2023,439547849791.115,10483751,287.0611945,5.147181523,41926.582364567315,1.1710173364392706e-11,55.77055971647339,3.977170975046666,0.23408015846147226,1.4017054786450522,-3.4700209414635017,2.142935670689697,2.142935670689689
2024,457093751868.536,10986400,302.5234227,5.475096397,41605.416867084394,1.197806002514487e-11,55.25444681955981,4.683160953173941,-0.7689677800343914,2.261866279666279,-0.9297303927074289,5.246329060098405,5.2463290600984
