year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity
1990,1721504098259.6,57247586,595.1823914,9.039386938,30071.208561695512,5.250865767405728e-12,65.84322537383122
1991,1699254695038.56,57424897,605.4838469,9.236920787,29590.905405342914,5.435865979343605e-12,65.55039940930912
1992,1721255429795.6,57580402,588.5811979,9.178018539,29893.077679374313,5.332165337070218e-12,64.12944094620771
1993,1781335634495.42,57718614,574.6312763,9.298481399,30862.411812165483,5.219949131952262e-12,61.79840036694576
1994,1869572508478.99,57865745,561.3666422,9.1796737,32308.79527221139,4.910038876998795e-12,61.15322401928077
1995,1935631814547.44,58019030,558.8019397,9.214414739,33362.01612725066,4.760417074026227e-12,60.644322567213244
1996,1986246961912.3,58166950,579.3738263,9.671951654,34147.34590540333,4.869460766695462e-12,59.90247336072964
1997,2083175521750.84,58316954,559.8562796,9.499212201,35721.61059287905,4.5599672719926294e-12,58.93712739052854
1998,2150801957623.71,58487141,560.2455009,9.571091539,36773.928779040674,4.4500106135176275e-12,58.535173194941066
1999,2214131432953.5,58682466,551.0582056,9.521630726,37730.71555911608,4.300390927244457e-12,57.87435172162966
2000,2314307169243.88,58892514,566.5899432,9.605091319,39297.13663172674,4.15030962468916e-12,58.98850145018596
2001,2369642769659.08,59119673,577.3419205,9.721336948,40082.13593568219,4.102448298314014e-12,59.389148178716134
2002,2410140612988.09,59370479,557.8376227,9.498824218,40594.932929345065,3.941190886046838e-12,58.72701819693786
2003,2487711377293.16,59647577,567.8813088,9.651908913,41706.83039301261,3.8798346950931625e-12,58.8361653553454
2004,2545576004983.01,59987905,575.7293803,9.712419567,42434.82090236373,3.815411344225342e-12,59.27764717415652
2005,2616614241852.83,60401206,580.1817765,9.790768568,43320.562868443885,3.741769960354239e-12,59.25804215169147
2006,2673913418491.85,60846820,583.1155126,9.659326091,43944.99857990689,3.6124303891814445e-12,60.368136152201465
2007,2752283449984.53,61322463,572.3548345,9.373372879,44882.14131230394,3.4056713450254137e-12,61.06178020318571
2008,2750923500693.34,61806995,562.543079,9.189323665,44508.28746314782,3.34045045697706e-12,61.2170274448593
2009,2624727410659.64,62276270,514.5093511,8.7092801,42146.5095879962,3.318165560594807e-12,59.07599080433754
2010,2684060544650.54,62766365,529.5501487,8.896488677,42762.720840222944,3.314563337526467e-12,59.5235005546672
2011,2706913649065.85,63258810,491.7373562,8.344614795,42791.09343134735,3.082704465980918e-12,58.9287065107719
2012,2748282336997.97,63711000,510.9156764,8.476861107,43136.7006795996,3.0844214922472355e-12,60.27179989749949
2013,2795510733841.06,64139000,502.1413243,8.475358571,43585.19362386473,3.03177464797453e-12,59.247207076072165
2014,2883853723651.98,64620000,460.5501408,7.948389865,44627.88182686444,2.7561695656791234e-12,57.942570586275586
2015,2945579890258.46,65088000,440.4082955,7.972257007,45255.34492162088,2.7065152886756278e-12,55.242611360032896
2016,3010574705731.3,65607000,414.6814672,7.870938291,45888.01051307482,2.6144304859852555e-12,52.68513763780441
2017,3101591068534.48,65966000,404.1677714,7.805242921,47018.025475767514,2.516528693993184e-12,51.78157496066996
2018,3149707010747.53,66289000,396.9275388,7.737320336,47514.77636934529,2.4565206571908023e-12,51.30038845014417
2019,3189276748351.15,66631000,380.6361536,7.490131065,47864.75887126337,2.3485359396522687e-12,50.81835688812476
2020,2868821517197.41,66744000,324.0017161,6.651538433,42982.46310076427,2.318561260478127e-12,48.71079365527587
2021,3113908148054.35,66984000,339.52832,6.75038017,46487.342470654934,2.167816084818626e-12,50.29765901318118
2022,3274265196937.19,67604000,339.1015973,6.729167353,48433.00983576696,2.0551687014523414e-12,50.3928018893484
2023,3283159739927.95,68492000,326.1932046,6.420235391,47934.93750989824,1.9555050316074153e-12,50.80704751998088
2024,3320141995547.62,69226000,321.2281571,6.431415698,47960.910576194205,1.937090554146378e-12,49.94672591291112
