year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity
1990,9737636593624.97,249623000,4971.209525,80.12781327,39009.37250824231,8.228671556962603e-12,62.040998276702375
1991,9727089478755.8,252981000,4923.56811,80.09374659,38449.88152768706,8.234091684354984e-12,61.472565832183534
1992,10069725930661.5,256514000,5005.97074,81.55463256,39256.048132505435,8.098992278595464e-12,61.38180729729965
1993,10346824232649.6,259919000,5119.325964,83.10770889,39807.87950342068,8.032194905539426e-12,61.598689608636136
1994,10763700132799.0,263126000,5196.431493,84.772104,40907.018435270555,7.875740029368116e-12,61.29883827113693
1995,11052644207040.4,266278000,5228.591522,86.24398434,41507.91356041581,7.80301823929731e-12,60.6255794188184
1996,11469635349338.5,269394000,5408.746529,88.97282506,42575.68969367729,7.757249672731002e-12,60.790994613833384
1997,11979704707077.8,272657000,5484.096306,89.56933716,43936.905001807405,7.476756677239382e-12,61.22738517316053
1998,12516770844481.1,275854000,5524.379784,90.41770247,45374.62151892341,7.223724360973422e-12,61.09843131474119
1999,13116127034705.4,279040000,5574.13192,92.11297316,47004.469017722906,7.022879003555559e-12,60.51408101134405
2000,13650948362520.0,282162411,5740.909744,94.50727718,48379.755170577984,6.923129050834218e-12,60.74568980614874
2001,13781388409036.2,284968955,5652.222118,92.74972309,48361.01676070714,6.730071044887302e-12,60.94058213538111
2002,14015733659783.6,287625193,5672.18586,93.85390945,48729.15864426243,6.696325124906026e-12,60.436330177826164
2003,14407558345762.9,290107933,5738.459922,94.13143403,49662.75205498397,6.533475816718312e-12,60.962206526792464
2004,14961928297813.8,292805298,5839.319233,96.12519535,51098.55730074188,6.424652854675528e-12,60.747020713336845
2005,15483134541390.2,295516599,5873.850357,96.18300959,52393.45131130925,6.212114822930675e-12,61.069521343099
2006,15914268559668.9,298379912,5795.737378,95.3037349,53335.589695022434,5.988571484933066e-12,60.81332892232747
2007,16233167950743.9,301231207,5885.033912,96.94673853,53889.39649517754,5.972139192064315e-12,60.70378437928457
2008,16251606759787.8,304093966,5701.345362,94.45684244,53442.71368997766,5.81215407412635e-12,60.35926265078738
2009,15832884074310.8,306771529,5290.636923,89.59907749,51611.32170877174,5.6590496759447925e-12,59.047895036536275
2010,16259610790677.0,309378227,5486.192376,92.67334899,52555.76951340212,5.6996043867874996e-12,59.19924590824912
2011,16513977256911.2,311839461,5337.456654,91.3690941,52956.66303409625,5.532833955052317e-12,58.41643398760588
2012,16892000920975.5,314339099,5089.500154,89.07254031,53738.14767145941,5.2730603512692755e-12,57.13882343859247
2013,17249744800617.5,316726282,5246.902432,91.46712278,54462.62524124064,5.302520346661922e-12,57.363807590406424
2014,17685097277697.8,319257560,5252.474583,92.43221545,55394.451043533,5.226559628064007e-12,56.82515081380104
2015,18206020741000.0,321815121,5137.813086,91.55894208,56572.91889960634,5.029047444387947e-12,56.11481488624907
2016,18537270454435.6,324353340,5039.275808,91.15183823,57151.470844837306,4.917220065060289e-12,55.28441231524685
2017,18992846546661.7,326608609,4979.984261,91.074934,58151.702139185494,4.7952229686185665e-12,54.68007543107305
2018,19556270302218.3,328529577,5134.552782,94.41112207,59526.66569871212,4.827665020527498e-12,54.38504139579071
2019,20061570168697.6,330226227,4982.798677,93.57274293,60750.9898621638,4.664278126943578e-12,53.25053558307612
2020,19627632559934.5,331577720,4468.372662,86.21375627,59194.66651720297,4.392468424642636e-12,51.82899870417628
2021,20816096100824.5,332099760,4755.310256,90.78554882,62680.2503585805,4.361314839260571e-12,52.37959474616744
2022,21339074561820.0,334017321,4801.927576,92.25154821,63886.13170698414,4.323127881799383e-12,52.052541872456885
2023,21955252291273.6,336806231,4642.749416,91.19776322,65186.59772441562,4.153801651199778e-12,50.90858867667741
2024,22568462768174.3,340110988,4619.121942,91.83211178,66356.17067501007,4.069045939163399e-12,50.299637593720156
